trial_name,h_flex_torque_scale,h_flex_power_scale,h_ext_power_scale,k_ext_torque_scale,k_ext_power_scale,k_flex_torque_scale,k_flex_power_scale,cost
Trial 1,0.1798028491806739,0.1133632661387105,-0.0889105060387111,0.1609224997244707,0.0725068779227094,0.0906341872346927,-0.0294630240797777,48.918216705322266
Trial 2,0.1960460837491745,0.0974650685119008,-0.0939567458640435,0.0814628950680803,0.0650962220696083,0.1096788365292019,-0.14122759181247,46.20637893676758
Trial 3,0.046504930049218,0.093010005811449,-0.1686165882937814,0.1125701626615534,0.0509423993780207,0.0435058343338435,-0.0330972293188401,52.0739860534668
Trial 4,0.1364534219708078,0.1232413769776303,-0.1883888899154091,0.0782242244002293,0.0835496242871036,0.0539586125972062,-0.0679771481589008,47.65846252441406
Trial 5,0.1139616786048717,0.1059986000002799,-0.148882329988778,0.1740927150643836,0.07956807646789,0.0576900517991684,-0.0536774347269311,46.75480651855469
Trial 6,0.0767493810017386,0.1300255241708594,-0.2140655097296268,0.0468714195866803,0.0862997395377988,0.1295397181709122,-0.0745159799775277,45.372779846191406
Trial 7,0.1430611030567055,0.1055469193757926,-0.1909700693885288,0.0712056146482793,0.0652591381678225,0.1422863992503332,-0.0690037434757709,44.85622787475586
Trial 8,0.0442175906782359,0.1355561416458508,-0.1384842135182901,0.0729225397626875,0.0995742004977897,0.1412414537826,-0.0501977589767496,46.9803581237793
Trial 9,0.0996469486066417,0.1051576999430913,-0.1040991281389391,0.139022641275391,0.0646659862805317,0.0925733757016015,-0.1154042364600989,47.59902572631836
Trial 10,0.1911322789880735,0.1821210665745815,-0.1576309750250474,0.0376218079853653,0.0901519036320728,0.1147609345448498,-0.0912497913559941,45.8758659362793
Trial 11,0.1058086704093162,0.0545426960851606,-0.2399690329180731,0.1017372682529518,0.1440117510326582,0.0950579987341461,-0.1140160691680877,46.34819793701172
Trial 12,0.020164951689584,0.1438683680651968,-0.1333139704267713,0.1015352001459384,0.0797028267051952,0.1411074851810416,-0.1040466017640744,48.134403228759766
Trial 13,0.1740099022428665,0.1180802597785875,-0.1838389113248565,0.0789759005702802,0.1045880762975045,0.1507039509693913,-0.0705735715496247,45.93604278564453
Trial 14,0.0878212829809294,0.0472991776427546,-0.1850219520249677,0.0901935095506023,0.0888010855363909,0.1314103209598246,-0.0539889646064848,44.83334732055664
Trial 15,0.0996423171439239,0.0633759635754262,-0.1493554150953955,0.0840376760408772,0.0475928594624209,0.1353931423215507,-0.0989784577187264,46.26177215576172
