Run,P time,Cost,Comfort Treadmill,Comfort Floor,Speed,B/W/S,G/B/O,Elapsed (min)
1,7:53,4.99,0,-1,12.43,-1,-1,7.88
2,10:27,4.97,1,1,11.91,-1,1,2.57
3,13:24,5.32,1,1,11.41,0,1,2.95
4,15:53,5.10,-1,1,11.25,1,1,2.48
5,18:19,5.20,-1,-1,13.55,-1,-1,2.43
6,20:52,4.86,0,1,11.78,1,1,2.55
7,23:21,5.19,-1,-1,12.91,-1,-1,2.48
8,25:48,4.83,1,0,11.26,1,0,2.45
9,28:17,5.24,-1,-1,11.95,-1,-1,2.48
10,30:40,5.03,-1,-1,10.73,-1,-1,2.38
11,33:05,5.01,1,1,13.61,1,1,2.42
12,35:24,4.72,1,0,13.35,1,0,2.32
13,37:52,4.78,-1,-1,13.26,-1,-1,2.47
14,40:27,4.99,1,1,12.93,1,1,2.58
15,43:16,4.96,1,1,13.05,1,1,2.82
